Node,Rank
Corallina sp. NZC2293,species
Corallina sp. NZC2496,species
Corallina sp. GS008,species
Corallina sp. ARS-2011,species
Corallina sp. ASD200,species
Corallina sp. ASD026,species
Corallina sp. 1California,species
Corallina sp. 1GWS,species
Corallina sp. 2frondescens,species
Corallina sp. 2vancouveriensis,species
Corallina sp. 3frondescens,species
Corallina sp. 4frondescens,species
Corallina sp. 5frondescens,species
Corallina sp. 5Korea,species
Corallina sp. CPC1,species
Corallina sp. CPC2,species
Corallina sp. CPC3,species
Corallina sp. CPC4,species
Corallina sp. LLG-2014,species
Corallina sp. SYK-2014,species
Corallina sp. 2015-SOC,species
Corallina sp. 2015-SOF,species
Corallina sp. 2015-SOA,species
Corallina sp. 2015-SOB,species
Corallina sp. 2015-SOE,species
Corallina sp. 2015-SOD,species
Corallina sp. Clade10 CJW-2015,species
Corallina sp. Clade11 CJW-2015,species
Corallina sp. Clade15 CJW-2015,species
Corallina sp. Clade16 CJW-2015,species
Corallina sp. Clade17 CJW-2015,species
Corallina sp. Clade18 CJW-2015,species
Corallina sp. Clade6 CJW-2015,species
Corallina sp. Clade7 CJW-2015,species
Corallina sp. KK-2015,species
Corallina sp.,species
Corallina sp. 1 JFC-2019,species
Corallina sp. 4BCcrust,species
Corallina sp. Fanad 1,species
Corallina sp. Fanad 2,species
Corallina sp. Fanad 3,species
Corallina sp. Fanad 4F,species
Corallina sp. Fanad 5,species
Corallina sp. RWade-2022a,species
Corallina maxima,species
Corallina confusa,species
Corallina chamberlainiae,species
Corallina cf. caespitosa,species
Corallina berteroi,species
Corallina yendoi,species
Corallina arbuscula,species
Cheilosporum,genus
Cheilosporum cultratum,species
Cheilosporum latissimum,species
Cheilosporum proliferum,species
unclassified Cheilosporum,no rank
Cheilosporum sp. KZN2250_MR,species
Bossiella,genus
Bossiella orbigniana,species
Bossiella orbigniana subsp. orbigniana,subspecies
Bossiella californica,species
Bossiella plumosa,species
Bossiella chiloensis,species
Bossiella frondescens,species
Bossiella dichotoma,species
Bossiella schmittii,species
Bossiella heteroforma,species
Bossiella montereyensis,species
Bossiella manzae,species
Bossiella reptans,species
Bossiella frondifera,species
Bossiella hakaiensis,species
Bossiella mayae,species
Bossiella exarticulata,species
unclassified Bossiella,no rank
Bossiella sp. 10GWS,species
Bossiella sp. 1chiloensis,species
Bossiella sp. 1plumosa,species
Bossiella sp. 2chiloensis,species
Bossiella sp. 2plumosa,species
Bossiella sp. 3plumosa,species
Bossiella sp. 4chiloensis,species
Bossiella sp. 4plumosa,species
Bossiella sp. 5chiloensis,species
Bossiella sp. 5plumosa,species
Bossiella sp. 7plumosa,species
Bossiella sp. 8plumosa,species
Bossiella sp. 6plumosa,species
Bossiella sp.,species
Calliarthron,genus
Calliarthron cheilosporioides,species
Calliarthron tuberculosum,species
Calliarthron regenerans,species
Calliarthron setchelliae,species
unclassified Calliarthron,no rank
Calliarthron sp.,species
Calliarthron sp. 2tuberculosum,species
Haliptilon,genus
Haliptilon squamatum,species
Haliptilon subulatum,species
unclassified Haliptilon,no rank
Haliptilon sp. KC144,species
Haliptilon sp. CH935,species
Serraticardia,genus
Arthrocardia,genus
Arthrocardia filicula,species
Arthrocardia corymbosa,species
Arthrocardia carinata,species
Arthrocardia flabellata,species
Arthrocardia cf. corymbosa 1278_BO,species
Arthrocardia cf. corymbosa 1280_BO,species
Arthrocardia cf. duthiae CH1617_KB,species
Arthrocardia cf. duthiae 320_PA,species
Arthrocardia cf. filicula 451_SB,species
unclassified Arthrocardia,no rank
Arthrocardia sp. ASE049,species
